Date,Versus,Inns,Overs,Runs,"wicket{0)avg:0-4),1(best:5-..)}"
25/1/1985,New Zealand,1st,34.4,105,0
9/2/1985,New Zealand,1st,26.0,56,1
9/1/1985,New Zealand,2nd,33.0,72,1
16/10/1985,Sri Lanka,1st,42.3,98,0
27/10/1985,Sri Lanka,1st,14.2,38,0
27/10/1985,Sri Lanka,2nd,19.0,74,0
7/11/1985,Sri Lanka,1st,14.0,17,0
7/11/1985,Sri Lanka,2nd,14.0,24,0
23/2/1986,Sri Lanka,1st,8.0,21,0
23/2/1986,Sri Lanka,2nd,5.0,45,1
13/3/1986,Sri Lanka,1st,27.3,55,0
13/3/1986,Sri Lanka,2nd,6.0,10,0
22/3/1986,Sri Lanka,1st,22.0,41,0
22/3/1986,Sri Lanka,2nd,29.0,72,0
24/10/1986,West Indies,1st,25.0,91,1
24/10/1986,West Indies,2nd,3.0,30,0
7/11/1986,West Indies,1st,9.0,16,0
3/2/1987,India,1st,34.0,78,0
11/2/1987,India,1st,31.0,96,1
11/2/1987,India,2nd,18.0,46,0
21/2/1987,India,1st,36.5,88,0
21/2/1987,India,2nd,5.0,17,0
4/3/1987,India,1st,21.5,60,0
4/6/1987,England,1st,46.0,111,0
18/6/1987,England,1st,28.0,98,0
2/7/1987,England,1st,14.0,36,0
2/7/1987,England,2nd,21.0,5,0
23/7/1987,England,1st,43.0,83,0
23/7/1987,England,2nd,8.4,41,0
6/8/1987,England,1st,14,37,0
6/8/1987,England,2nd,6,3,0
25/11/1987,England,1st,14,32,0
25/11/1987,England,2nd,1,4,0
16/12/1987,England,1st,24.1,64,0
2/4/1988,West Indies,1st,14,41,0
2/4/1988,West Indies,2nd,6,7,0
14/4/1988,West Indies,1st,14,35,0
14/4/1988,West Indies,2nd,25,75,0
22/4/1988,West Indies,1st,27,88,0
22/4/1988,West Indies,2nd,31,73,0
15/11/1989,India,1st,26.2,83,0
15/11/1989,India,2nd,25,68,0
23/11/1989,India,1st,38,107,0
23/11/1989,India,2nd,31,86,0
1/12/1989,India,1st,24,65,0
12/1/1990,Australia,1st,30,62,1
12/1/1990,Australia,2nd,41.4,98,1
19/1/1990,Australia,1st,43,100,1
19/1/1990,Australia,2nd,11,29,0
3/2/1990,Australia,1st,10,29,0
10/10/1990,New Zealand,1st,29.5,44,0
10/10/1990,New Zealand,2nd,24,60,0
18/10/1990,New Zealand,1st,16,43,0
18/10/1990,New Zealand,2nd,9,15,0
15/11/1990,West Indies,1st,23.3,61,0
15/11/1990,West Indies,2nd,20.3,39,0
23/11/1990,West Indies,1st,17,63,0
23/11/1990,West Indies,2nd,12,46,0
6/12/1990,West Indies,1st,24,61,0
6/12/1990,West Indies,2nd,9,28,1
12/12/1991,Sri Lanka,1st,32,47,0
12/12/1991,Sri Lanka,2nd,13,31,0
2/1/1992,Sri Lanka,1st,22,62,0
2/1/1992,Sri Lanka,2nd,18,71,0
